2094,2030,2125,2030
2120,2029,2168,2029
2146,2029,2211,2029
2171,2028,2253,2028
2197,2028,2296,2028
2222,2028,2339,2028
2248,2027,2381,2027
2273,2027,2423,2027
2298,2026,2465,2026
2323,2026,2507,2026
2348,2026,2548,2026
2373,2025,2589,2025
2397,2025,2630,2025
2421,2024,2670,2024
2445,2024,2710,2024
2469,2024,2750,2024
2493,2023,2789,2023
2516,2023,2828,2023
2539,2023,2866,2023
2562,2022,2904,2022
2584,2022,2942,2022
2606,2021,2978,2021
2628,2021,3015,2021
2649,2021,3050,2021
2670,2020,3085,2020
2691,2020,3120,2020
2711,2019,3153,2019
2731,2019,3186,2019
2750,2019,3219,2019
2769,2018,3250,2018
2788,2018,3281,2018
2806,2018,3311,2018
2824,2017,3341,2017
2841,2017,3369,2017
2857,2016,3397,2016
2874,2016,3424,2016
2889,2016,3450,2016
2904,2015,3475,2015
2919,2015,3500,2015
2933,2015,3523,2015
2947,2014,3546,2014
2960,2014,3567,2014
2972,2014,3588,2014
2984,2013,3608,2013
2995,2013,3626,2013
3006,2012,3644,2012
3016,2012,3661,2012
3025,2012,3677,2012
3034,2011,3692,2011
3042,2011,3705,2011
3050,2011,3718,2011
3057,2010,3730,2010
3063,2010,3740,2010
3069,2010,3750,2010
3074,2009,3759,2009
3079,2009,3766,2009
3083,2008,3773,2008
3086,2008,3778,2008
3089,2008,3782,2008
3090,2007,3785,2007
3092,2007,3788,2007
3092,2007,3789,2007
3092,2006,3789,2006
3092,2006,3788,2006
3090,2006,3785,2006
3089,2005,3782,2005
3086,2005,3778,2005
3083,2005,3773,2005
3079,2004,3766,2004
3074,2004,3759,2004
3069,2004,3750,2004
3063,2003,3740,2003
3057,2003,3730,2003
3050,2002,3718,2002
3042,2002,3705,2002
3034,2002,3692,2002
3025,2001,3677,2001
3016,2001,3661,2001
3006,2001,3644,2001
2995,2000,3626,2000
2984,2000,3608,2000
2972,2000,3588,2000
2960,1999,3567,1999
2947,1999,3546,1999
2933,1999,3523,1999
2919,1998,3500,1998
2904,1998,3475,1998
2889,1998,3450,1998
2874,1997,3424,1997
2857,1997,3397,1997
2841,1997,3369,1997
2824,1996,3341,1996
2806,1996,3311,1996
2788,1996,3281,1996
2769,1995,3250,1995
2750,1995,3219,1995
2731,1995,3186,1995
2711,1994,3153,1994
2691,1994,3120,1994
2670,1994,3085,1994
2649,1993,3050,1993
2628,1993,3015,1993
2606,1993,2978,1993
2584,1992,2942,1992
2562,1992,2904,1992
2539,1992,2866,1992
2516,1991,2828,1991
2493,1991,2789,1991
2469,1991,2750,1991
2445,1991,2710,1991
2421,1990,2670,1990
2397,1990,2630,1990
2373,1990,2589,1990
2348,1989,2548,1989
2323,1989,2507,1989
2298,1989,2465,1989
2273,1988,2423,1988
2248,1988,2381,1988
2222,1988,2339,1988
2197,1987,2296,1987
2171,1987,2253,1987
2146,1987,2211,1987
2120,1986,2168,1986
2094,1986,2125,1986
2068,1986,2082,1986
2043,1985,2039,1985
2017,1985,1996,1985
1991,1985,1954,1985
1966,1985,1911,1985
1940,1984,1868,1984
1915,1984,1826,1984
1889,1984,1783,1984
1864,1983,1741,1983
1839,1983,1699,1983
1814,1983,1658,1983
1789,1982,1616,1982
1764,1982,1575,1982
1740,1982,1534,1982
1716,1981,1494,1981
1692,1981,1454,1981
1668,1981,1414,1981
1644,1981,1375,1981
1621,1980,1336,1980
1598,1980,1298,1980
1575,1980,1260,1980
1553,1979,1223,1979
1531,1979,1186,1979
1509,1979,1150,1979
1488,1978,1114,1978
1467,1978,1079,1978
1446,1978,1045,1978
1426,1978,1011,1978
1406,1977,0978,1977
1386,1977,0945,1977
1368,1977,0914,1977
1349,1976,0883,1976
1331,1976,0853,1976
1313,1976,0823,1976
1296,1976,0795,1976
1279,1975,0767,1975
1263,1975,0740,1975
1248,1975,0714,1975
1233,1974,0689,1974
1218,1974,0665,1974
1204,1974,0641,1974
1190,1973,0619,1973
1177,1973,0597,1973
1165,1973,0576,1973
1153,1973,0557,1973
1142,1972,0538,1972
1131,1972,0520,1972
1121,1972,0503,1972
1112,1972,0488,1972
1103,1971,0473,1971
1095,1971,0459,1971
1087,1971,0446,1971
1080,1970,0435,1970
1074,1970,0424,1970
1068,1970,0414,1970
1063,1970,0406,1970
1058,1969,0398,1969
1054,1969,0392,1969
1051,1969,0386,1969
1048,1968,0382,1968
1047,1968,0379,1968
1045,1968,0377,1968
1045,1968,0376,1968
1045,1967,0376,1967
1045,1967,0377,1967
1047,1967,0379,1967
1048,1966,0382,1966
1051,1966,0386,1966
1054,1966,0392,1966
1058,1966,0398,1966
1063,1965,0406,1965
1068,1965,0414,1965
1074,1965,0424,1965
1080,1965,0435,1965
1087,1964,0446,1964
1095,1964,0459,1964
1103,1964,0473,1964
1112,1964,0488,1964
1121,1963,0503,1963
1131,1963,0520,1963
1142,1963,0538,1963
1153,1962,0557,1962
1165,1962,0576,1962
1177,1962,0597,1962
1190,1962,0619,1962
1204,1961,0641,1961
1218,1961,0665,1961
1233,1961,0689,1961
1248,1961,0714,1961
1263,1960,0740,1960
1279,1960,0767,1960
1296,1960,0795,1960
1313,1960,0823,1960
1331,1959,0853,1959
1349,1959,0883,1959
1368,1959,0914,1959
1386,1959,0945,1959
1406,1958,0978,1958
1426,1958,1011,1958
1446,1958,1045,1958
1467,1958,1079,1958
1488,1957,1114,1957
1509,1957,1150,1957
1531,1957,1186,1957
1553,1957,1223,1957
1575,1956,1260,1956
1598,1956,1298,1956
1621,1956,1336,1956
1644,1956,1375,1956
1668,1955,1414,1955
1692,1955,1454,1955
1716,1955,1494,1955
1740,1955,1534,1955
1764,1954,1575,1954
1789,1954,1616,1954
1814,1954,1658,1954
1839,1954,1699,1954
1864,1953,1741,1953
1889,1953,1783,1953
1915,1953,1826,1953
1940,1953,1868,1953
1966,1952,1911,1952
1991,1952,1954,1952
2017,1952,1996,1952
2043,1952,2039,1952
2068,1951,2082,1951
2094,1951,2125,1951
2120,1951,2168,1951
2146,1951,2211,1951
